"css-4rbku5 href","css-9pa8cd src","css-4rbku5 href 2","css-901oao","css-901oao 2","css-901oao 3","css-4rbku5 href 4","css-4rbku5","css-901oao 4","css-4rbku5 2","css-4rbku5 href 5","css-901oao 5","css-4rbku5 3","css-4rbku5 href 6","css-901oao 6","css-901oao 7","css-901oao 8","css-901oao 9","css-4rbku5 href 7","css-901oao 10","css-4rbku5 4","css-4rbku5 href 8","css-901oao 11","css-4rbku5 href 9","css-9pa8cd src 2","css-4rbku5 href 10","css-9pa8cd src 3","css-4rbku5 5","css-4rbku5 href 11","css-901oao 12","css-4rbku5 href 13","css-901oao 18","css-901oao 19"
"https://twitter.com/OHarfuch","https://pbs.twimg.com/profile_images/1230959548527022080/VQiMVUJI_bigger.jpg","https://twitter.com/OHarfuch","Omar Garcia Harfuch","@OHarfuch","·","https://twitter.com/OHarfuch/status/1551992878364332036","26 jul. 2022","Hoy","@SSC_CDMX","https://twitter.com/SSC_CDMX","y","@FiscaliaCDMX","https://twitter.com/FiscaliaCDMX","aseguraron más de 1,600 kg de cocaína, lo que se considera el mayor decomiso de esta droga en la","321","836","3.016","https://twitter.com/OHarfuch/status/1551992878364332036/analytics","","#CDMX","https://twitter.com/hashtag/CDMX?src=hashtag_click",", fueron detenidas 4 personas, agradecemos a la","https://twitter.com/OHarfuch/status/1551992878364332036/photo/1","https://pbs.twimg.com/media/FYnJS-dUEAEOkXG?format=jpg&name=small","https://twitter.com/OHarfuch/status/1551992878364332036/photo/2","https://pbs.twimg.com/media/FYnJS-iUYAA6iql?format=jpg&name=small","@FiscaliaEdomex","https://twitter.com/FiscaliaEdomex","su apoyo. Esto debilita a los  criminales que generan violencia en nuestra CDMX.","","",""
"https://twitter.com/OHarfuch","https://pbs.twimg.com/profile_images/1230959548527022080/VQiMVUJI_bigger.jpg","https://twitter.com/OHarfuch","Omar Garcia Harfuch","@OHarfuch","·","https://twitter.com/OHarfuch/status/1551243746360049664","24 jul. 2022","En una operación coordinada, compañeros de","@SSC_CDMX","https://twitter.com/SSC_CDMX",",","@FiscaliaCDMX","https://twitter.com/FiscaliaCDMX","y","96","375","1.527","https://twitter.com/OHarfuch/status/1551243746360049664/analytics","","#CNI","https://twitter.com/hashtag/CNI?src=hashtag_click","detuvieron al operador de una célula delictiva que operaba en Guanajuato y CDMX, cuenta con orden de aprehensión por el homicidio de un compañero de","https://twitter.com/OHarfuch/status/1551243746360049664/photo/1","https://pbs.twimg.com/media/FYcf90yUsAAzfLg?format=jpg&name=small","","","@GN_MEXICO_","https://twitter.com/GN_MEXICO_",".","","",""
"https://twitter.com/Claudiashein","https://pbs.twimg.com/profile_images/1658185823010066433/ADCtGM0f_bigger.jpg","https://twitter.com/Claudiashein","Dra. Claudia Sheinbaum","@Claudiashein","·","https://twitter.com/Claudiashein/status/1550210033262157826","21 jul. 2022","Felicidades a la primera generación de la Policía de Custodia Penitenciaria. Ahora este personal recibe la misma capacitación de un policía, además del plan de estudios que establece la Federación. Así reforzamos la seguridad en el Sistema Penitenciario de la Ciudad.","","https://twitter.com/Claudiashein/status/1550210033262157826/media_tags","y","","","SSC CDMX","173","391","1.191","https://twitter.com/Claudiashein/status/1550210033262157826/analytics","Omar Garcia Harfuch","","","","https://twitter.com/Claudiashein/status/1550210033262157826/photo/1","https://pbs.twimg.com/media/FYNzzdgXgAAlOnO?format=jpg&name=small","https://twitter.com/Claudiashein/status/1550210033262157826/photo/2","https://pbs.twimg.com/media/FYNzzdeXwAM_1C5?format=jpg&name=360x360","","","","https://twitter.com/OHarfuch","retwitteó","Omar Garcia Harfuch"
"https://twitter.com/OHarfuch","https://pbs.twimg.com/profile_images/1230959548527022080/VQiMVUJI_bigger.jpg","https://twitter.com/OHarfuch","Omar Garcia Harfuch","@OHarfuch","·","https://twitter.com/OHarfuch/status/1549756022293774338","20 jul. 2022","Conforme a","@INEGI_INFORMA","https://twitter.com/INEGI_INFORMA","en la CDMX tenemos el nivel más bajo de percepción de inseguridad desde 2014 y por 1a vez desde 2015 el nivel en CDMX es menor al nacional.El resultado indica que estamos en la ruta correcta. Estamos trabajando con orden para alcanzar mejores resultados.","","","","228","234","1.108","https://twitter.com/OHarfuch/status/1549756022293774338/analytics","","","","","https://twitter.com/OHarfuch/status/1549756022293774338/photo/1","https://pbs.twimg.com/media/FYHW4x0UYAUfsEl?format=jpg&name=small","https://twitter.com/OHarfuch/status/1549756022293774338/photo/2","https://pbs.twimg.com/media/FYHW4xzUcAAzOgl?format=jpg&name=small","","","","","",""
"https://twitter.com/Claudiashein","https://pbs.twimg.com/profile_images/1658185823010066433/ADCtGM0f_bigger.jpg","https://twitter.com/Claudiashein","Dra. Claudia Sheinbaum","@Claudiashein","·","https://twitter.com/Claudiashein/status/1549600583362953219","19 jul. 2022","¡Buenas noticias, de buenas noches!

En la Ciudad de México tenemos el nivel más bajo de percepción de inseguridad desde 2014; por primera vez desde el 2015 tenemos un nivel menor al nacional, de acuerdo con","@INEGI_INFORMA","https://twitter.com/INEGI_INFORMA",".","","","","1.365","691","1.569","https://twitter.com/Claudiashein/status/1549600583362953219/analytics","","#CiudadSegura","https://twitter.com/hashtag/CiudadSegura?src=hashtag_click","","https://twitter.com/Claudiashein/status/1549600583362953219/photo/1","https://pbs.twimg.com/media/FYFJg8zVQAAwaIK?format=jpg&name=small","","","","","","https://twitter.com/OHarfuch","retwitteó","Omar Garcia Harfuch"
"https://twitter.com/OHarfuch","https://pbs.twimg.com/profile_images/1230959548527022080/VQiMVUJI_bigger.jpg","https://twitter.com/OHarfuch","Omar Garcia Harfuch","@OHarfuch","·","https://twitter.com/OHarfuch/status/1547726454028320768","14 jul. 2022","Tras el operativo realizado por","@SSC_CDMX","https://twitter.com/SSC_CDMX","en","","",", ya fueron ingresados 10 involucrados a","111","222","933","https://twitter.com/OHarfuch/status/1547726454028320768/analytics","","#Topilejo","https://twitter.com/hashtag/Topilejo?src=hashtag_click","; 4 personas quedaron en libertad después de las entrevistas de los 10 detenidos que estaban en la casa de seguridad donde se aseguró droga y armas de fuego de alto poder.","https://twitter.com/OHarfuch/status/1547726454028320768/photo/1","https://pbs.twimg.com/media/FXqhAZoUIAAZNIj?format=jpg&name=small","","","","","","","",""
"https://twitter.com/OHarfuch","https://pbs.twimg.com/profile_images/1230959548527022080/VQiMVUJI_bigger.jpg","https://twitter.com/OHarfuch","Omar Garcia Harfuch","@OHarfuch","·","https://twitter.com/OHarfuch/status/1546966473381388288","12 jul. 2022","Nos encontramos en Topilejo,al momento tenemos 14 detenidos 
2 victimas liberadas 
10 armas largas incluyendo un Barrett.50 y una ametralladora
3 armas cortas 
12 granadas
Chalecos balísticos 
74 cargadores. 
Droga asegurada. Reconozco la valentía de los compañeros de","@SSC_CDMX","https://twitter.com/SSC_CDMX",".","","","","672","2.368","8.734","https://twitter.com/OHarfuch/status/1546966473381388288/analytics","","","","","","","","","","","","","",""
"https://twitter.com/OHarfuch","https://pbs.twimg.com/profile_images/1230959548527022080/VQiMVUJI_bigger.jpg","https://twitter.com/OHarfuch","Omar Garcia Harfuch","@OHarfuch","·","https://twitter.com/OHarfuch/status/1546948548150890496","12 jul. 2022","Hace unos minutos hubo un enfrentamiento entre personal de","@SSC_CDMX","https://twitter.com/SSC_CDMX","y delincuentes en Topilejo, tenemos detenidos y dos compañeros heridos. Hay aseguradas armas largas y droga.Tenemos todavía compañeros trabajando en el lugar, en un momento más informaremos.","","","","290","1.338","4.854","https://twitter.com/OHarfuch/status/1546948548150890496/analytics","","","","","","","","","","","","","",""
"https://twitter.com/OHarfuch","https://pbs.twimg.com/profile_images/1230959548527022080/VQiMVUJI_bigger.jpg","https://twitter.com/OHarfuch","Omar Garcia Harfuch","@OHarfuch","·","https://twitter.com/OHarfuch/status/1546912431120818177","12 jul. 2022","Mi compañera de","@SSC_CDMX","https://twitter.com/SSC_CDMX","Itzania Otero (Jefa Atenea) regresó de capacitarse en Tel Aviv,Israel. Ella es un ejemplo para mujeres y hombres aquí en SSC;   una mujer con un extraordinario desempeño operativo, pero también con un gran liderazgo que ejerce con absoluta integridad.","","","","138","372","2.971","https://twitter.com/OHarfuch/status/1546912431120818177/analytics","","","","","https://twitter.com/OHarfuch/status/1546912431120818177/photo/1","https://pbs.twimg.com/media/FXe8qBIVQAAmMEF?format=jpg&name=small","https://twitter.com/OHarfuch/status/1546912431120818177/photo/2","https://pbs.twimg.com/media/FXe8qBIUcAE5nej?format=jpg&name=small","","","","","",""
"https://twitter.com/OHarfuch","https://pbs.twimg.com/profile_images/1230959548527022080/VQiMVUJI_bigger.jpg","https://twitter.com/OHarfuch","Omar Garcia Harfuch","@OHarfuch","·","https://twitter.com/OHarfuch/status/1546132221433712644","10 jul. 2022","Muchas gracias por su denuncia, esta madrugada ya fueron detenidas dos personas que participaron en este robo.","","","@FiscaliaCDMX","","","@AlcCuauhtemocMx","429","1.408","6.264","https://twitter.com/OHarfuch/status/1546132221433712644/analytics","@C5_CDMX","","","@5antaMerlina","","https://pbs.twimg.com/ext_tw_video_thumb/1544550527895097345/pu/img/tYDHA7Dd5fA6Hewo.jpg","","","","","","","@OHarfuch",""
